trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",20,7,-6.475101718656153,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",20,0,-59.244618068398914,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
135,False,"{'a': 0.001, 'e': 0.874590064603334}",30,0,-98.86247058798266,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",20,0,-47.64889907632529,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",25,0,-78.18006806547565,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",20,0,-60.38658970459519,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",20,12,5.38967217611407,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",20,0,-163.70903684769956,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,0,-186.50591996464874,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",20,8,-11.417401135794359,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.001, 'e': 0.867621256485914}",20,10,-25.97910813711399,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",25,0,-212.14393122442624,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
145,False,"{'a': 0.001, 'e': 0.865887748059205}",25,0,-149.54831989237286,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",35,0,-78.19779698470393,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",20,0,-74.18021763538022,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",25,0,-187.73257993003966,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",20,0,-128.57720366238277,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",30,0,-257.11487031446086,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 5}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",30,9,-167.14800606466542,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 2}",1
152,False,"{'a': 0.001, 'e': 0.8598476986592055}",25,0,-178.21066572115643,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
153,False,"{'a': 0.001, 'e': 0.8589882807411234}",25,0,-48.95466690892307,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.001, 'e': 0.8581297218113938}",25,0,-115.16015987795392,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
155,False,"{'a': 0.001, 'e': 0.8572720210114575}",20,0,-114.53757802516591,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
156,False,"{'a': 0.001, 'e': 0.8564151774836135}",30,7,-14.7148790281295,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.001, 'e': 0.8555591903710185}",30,0,-158.15749545958602,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
158,False,"{'a': 0.001, 'e': 0.8547040588176851}",25,0,-177.08630788691627,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
159,False,"{'a': 0.001, 'e': 0.8538497819684817}",20,0,-127.27836349844249,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
160,False,"{'a': 0.001, 'e': 0.8529963589691315}",25,0,-168.9635739060646,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
161,False,"{'a': 0.001, 'e': 0.8521437889662113}",25,0,-45.23385550354084,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
162,False,"{'a': 0.001, 'e': 0.8512920711071511}",30,0,-165.17776378336066,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
163,False,"{'a': 0.001, 'e': 0.850441204540233}",25,0,-78.38163300931157,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
164,False,"{'a': 0.001, 'e': 0.8495911884145902}",30,0,-106.40286252203883,"{0: 17, 1: 8, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.001, 'e': 0.8487420218802068}",25,0,-159.6504458720923,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
166,False,"{'a': 0.001, 'e': 0.8478937040879159}",20,0,-117.56335508612428,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
167,False,"{'a': 0.001, 'e': 0.8470462341893996}",20,0,-137.55805914527315,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
168,False,"{'a': 0.001, 'e': 0.8461996113371882}",25,15,-7.300608257071807,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.001, 'e': 0.8453538346846587}",25,0,-34.69792454648246,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
170,False,"{'a': 0.001, 'e': 0.8445089033860343}",20,0,-41.7544359179769,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
171,False,"{'a': 0.001, 'e': 0.8436648165963837}",20,11,-0.07667855884221941,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.001, 'e': 0.8428215734716199}",20,0,-110.78915336570036,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
173,False,"{'a': 0.001, 'e': 0.8419791731684999}",25,0,-120.06312724763616,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
174,False,"{'a': 0.001, 'e': 0.8411376148446232}",20,0,-76.62181125325971,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
175,False,"{'a': 0.001, 'e': 0.8402968976584314}",20,0,-87.15117110780365,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.001, 'e': 0.8394570207692074}",20,0,-42.18090811948661,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
177,False,"{'a': 0.001, 'e': 0.838617983337074}",20,0,-69.94068265846164,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
178,False,"{'a': 0.001, 'e': 0.8377797845229938}",30,11,-95.55873929705868,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
179,False,"{'a': 0.001, 'e': 0.8369424234887681}",25,0,-126.81834263294014,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
180,False,"{'a': 0.001, 'e': 0.8361058993970355}",20,0,-110.44653893216248,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
181,False,"{'a': 0.001, 'e': 0.835270211411272}",25,0,-54.42513042760215,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
182,False,"{'a': 0.001, 'e': 0.8344353586957896}",25,0,-118.6798082910088,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
